university,total_papers,total_cites,avg_cites_per_paper,total_top_papers,best_rank,avg_rank,cluster_id,university_upper
GHENT UNIVERSITY,66331.0,1756662.0,27.018571428571427,1451.0,22,158.28571428571428,3,GHENT UNIVERSITY
PENNSYLVANIA STATE UNIVERSITY,70591.0,1806638.0,27.225,1468.0,42,161.95454545454547,3,PENNSYLVANIA STATE UNIVERSITY
UNIVERSITY OF CALIFORNIA DAVIS,65422.0,1763391.0,29.67409090909091,1381.0,12,168.04545454545453,3,UNIVERSITY OF CALIFORNIA DAVIS
UNIVERSITY OF MASSACHUSETTS SYSTEM,53132.0,1574968.0,31.30545454545455,1383.0,28,183.3181818181818,3,UNIVERSITY OF MASSACHUSETTS SYSTEM
TECHNICAL UNIVERSITY OF MUNICH,61142.0,1661205.0,27.766190476190477,1493.0,86,183.85714285714286,3,TECHNICAL UNIVERSITY OF MUNICH
UNIVERSITY OF ALBERTA,65325.0,1631103.0,23.741,1306.0,77,193.4,3,UNIVERSITY OF ALBERTA
TEXAS A&M UNIVERSITY SYSTEM,70625.0,1501421.0,23.58409090909091,1085.0,31,193.8181818181818,3,TEXAS A&M UNIVERSITY SYSTEM
RUTGERS UNIVERSITY SYSTEM,53943.0,1327736.0,25.963,1103.0,90,197.95,3,RUTGERS UNIVERSITY SYSTEM
LEIBNIZ ASSOCIATION,60417.0,1600158.0,27.63181818181818,1182.0,16,200.72727272727272,3,LEIBNIZ ASSOCIATION
RUTGERS UNIVERSITY NEW BRUNSWICK,51961.0,1299052.0,26.1555,1076.0,96,204.2,3,RUTGERS UNIVERSITY NEW BRUNSWICK
UNIVERSITY OF HONG KONG,54614.0,1548458.0,30.477619047619047,1442.0,57,213.71428571428572,3,UNIVERSITY OF HONG KONG
TEXAS A&M UNIVERSITY COLLEGE STATION,60458.0,1335402.0,24.08681818181818,933.0,48,227.22727272727272,3,TEXAS A&M UNIVERSITY COLLEGE STATION
UTAH SYSTEM OF HIGHER EDUCATION,64708.0,1642920.0,25.737272727272728,1478.0,82,229.13636363636363,3,UTAH SYSTEM OF HIGHER EDUCATION
SAPIENZA UNIVERSITY ROME,70699.0,1634446.0,21.656190476190474,1171.0,40,233.0,3,SAPIENZA UNIVERSITY ROME
UNIVERSITY OF GRONINGEN,58370.0,1841009.0,31.495238095238093,1676.0,38,237.33333333333334,3,UNIVERSITY OF GRONINGEN
AARHUS UNIVERSITY,60537.0,1633964.0,27.813333333333336,1406.0,45,237.8095238095238,3,AARHUS UNIVERSITY
UNIVERSITY OF PADUA,62258.0,1589899.0,23.701428571428572,1250.0,42,238.57142857142858,3,UNIVERSITY OF PADUA
UNIVERSITY OF ZURICH,60330.0,1815188.0,29.651,1666.0,49,243.0,3,UNIVERSITY OF ZURICH
UNIVERSITE DE TOULOUSE,55711.0,1366791.0,22.88095238095238,1091.0,43,245.0952380952381,3,UNIVERSITE DE TOULOUSE
UNIVERSITY OF TEXAS AUSTIN,57398.0,1646879.0,31.470000000000002,1466.0,56,246.22727272727272,3,UNIVERSITY OF TEXAS AUSTIN
UNIVERSITY OF BRISTOL,44769.0,1435711.0,31.17666666666667,1218.0,61,248.76190476190476,3,UNIVERSITY OF BRISTOL
PURDUE UNIVERSITY SYSTEM,56073.0,1266857.0,25.187142857142856,940.0,49,249.9047619047619,3,PURDUE UNIVERSITY SYSTEM
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,55471.0,1487220.0,28.965454545454545,1145.0,57,249.9090909090909,3,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN
UNIV LYON COMUE,55765.0,1263902.0,21.953,857.0,83,252.75,3,UNIV LYON COMUE
UNIVERSITY OF BIRMINGHAM,50628.0,1600280.0,31.33,1535.0,100,253.27272727272728,3,UNIVERSITY OF BIRMINGHAM
PURDUE UNIVERSITY,54463.0,1246143.0,25.473333333333336,931.0,52,255.14285714285714,3,PURDUE UNIVERSITY
UNIVERSITY OF WESTERN AUSTRALIA,50717.0,1490552.0,28.520999999999997,1291.0,29,258.25,3,UNIVERSITY OF WESTERN AUSTRALIA
KYOTO UNIVERSITY,68330.0,1518090.0,20.76142857142857,985.0,53,260.8095238095238,3,KYOTO UNIVERSITY
AIX-MARSEILLE UNIVERSITE,53508.0,1412071.0,24.0825,1086.0,55,261.8,3,AIX-MARSEILLE UNIVERSITE
LUND UNIVERSITY,54283.0,1507943.0,28.078095238095237,1175.0,104,265.2857142857143,3,LUND UNIVERSITY
UNIVERSITY OF ADELAIDE,40682.0,1326670.0,30.776842105263157,1239.0,111,266.10526315789474,3,UNIVERSITY OF ADELAIDE
UNIVERSITY OF SOUTHAMPTON,43286.0,1376643.0,33.48571428571429,1203.0,101,266.9047619047619,3,UNIVERSITY OF SOUTHAMPTON
UNIVERSITY OF BOLOGNA,55011.0,1341746.0,21.56809523809524,1113.0,97,267.57142857142856,3,UNIVERSITY OF BOLOGNA
PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK,54827.0,1489296.0,28.569999999999997,1205.0,60,267.72727272727275,3,PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK
UNIVERSITE DE MONTPELLIER,56738.0,1346245.0,22.2,1043.0,32,270.76190476190476,3,UNIVERSITE DE MONTPELLIER
CHINESE UNIVERSITY OF HONG KONG,44741.0,1359887.0,27.791000000000004,1453.0,87,271.25,3,CHINESE UNIVERSITY OF HONG KONG
MICHIGAN STATE UNIVERSITY,49182.0,1193958.0,24.964,929.0,37,272.45,3,MICHIGAN STATE UNIVERSITY
UNIVERSIDADE DE LISBOA,53269.0,1181491.0,22.635238095238094,841.0,105,273.14285714285717,3,UNIVERSIDADE DE LISBOA
UNIVERSITY OF TENNESSEE SYSTEM,47195.0,1221217.0,23.901500000000002,983.0,109,276.3,3,UNIVERSITY OF TENNESSEE SYSTEM
UPPSALA UNIVERSITY,51013.0,1413638.0,27.16181818181818,1077.0,102,276.45454545454544,3,UPPSALA UNIVERSITY
UNIVERSITY OF SOUTHERN CALIFORNIA,54083.0,1533142.0,29.5065,1408.0,35,277.95,3,UNIVERSITY OF SOUTHERN CALIFORNIA
"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS",15214.0,383077.0,24.28333333333333,456.0,47,278.3333333333333,3,"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS"
UNIVERSITY OF HELSINKI,55121.0,1589059.0,27.894545454545458,1323.0,78,279.77272727272725,3,UNIVERSITY OF HELSINKI
UNIVERSITE DE MONTREAL,55074.0,1402953.0,25.097,1082.0,112,280.65,3,UNIVERSITE DE MONTREAL
OREGON HEALTH & SCIENCE UNIVERSITY,26652.0,950252.0,31.599999999999998,883.0,104,281.1111111111111,3,OREGON HEALTH & SCIENCE UNIVERSITY
UNIVERSITY OF NOTTINGHAM,42998.0,1221691.0,29.526999999999997,1078.0,94,282.8,3,UNIVERSITY OF NOTTINGHAM
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON,23236.0,727399.0,30.436666666666667,553.0,111,284.55555555555554,3,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON
UNIVERSITE PSL,57233.0,1671990.0,26.75090909090909,1346.0,18,284.6363636363636,3,UNIVERSITE PSL
SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY,19921.0,377588.0,18.99285714285714,349.0,29,285.0,3,SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY
UNIVERSITY OF NAPLES FEDERICO II,51508.0,1191528.0,21.897,860.0,48,290.1,3,UNIVERSITY OF NAPLES FEDERICO II
ERASMUS MC,39521.0,1417906.0,39.158181818181816,1360.0,54,291.0,3,ERASMUS MC
BOSTON CHILDREN'S HOSPITAL,29023.0,1053891.0,47.08454545454545,884.0,52,291.6363636363636,3,BOSTON CHILDREN'S HOSPITAL
AUTONOMOUS UNIVERSITY OF BARCELONA,50067.0,1233537.0,24.717272727272725,1142.0,124,292.04545454545456,3,AUTONOMOUS UNIVERSITY OF BARCELONA
JOHNS HOPKINS MEDICINE,28560.0,1037524.0,40.017,1049.0,78,293.0,3,JOHNS HOPKINS MEDICINE
TECHNICAL UNIVERSITY OF DENMARK,35948.0,1123686.0,36.804,787.0,65,293.25,3,TECHNICAL UNIVERSITY OF DENMARK
UNIVERSITY OF LIVERPOOL,41373.0,1190383.0,27.20052631578947,1054.0,140,300.3157894736842,3,UNIVERSITY OF LIVERPOOL
