univ,country,docs,cites,cpp,top_papers,subject
CHINESE ACADEMY OF SCIENCES,CHINA MAINLAND,15661.0,332254.0,21.22,251.0,AGRICULTURAL SCIENCES
CHINESE ACADEMY OF AGRICULTURAL SCIENCES,CHINA MAINLAND,12222.0,223855.0,18.32,198.0,AGRICULTURAL SCIENCES
UNITED STATES DEPARTMENT OF AGRICULTURE (USDA),USA,12564.0,220644.0,17.56,105.0,AGRICULTURAL SCIENCES
CHINA AGRICULTURAL UNIVERSITY,CHINA MAINLAND,10052.0,207779.0,20.67,166.0,AGRICULTURAL SCIENCES
INRAE,FRANCE,9314.0,187838.0,20.17,118.0,AGRICULTURAL SCIENCES
JIANGNAN UNIVERSITY,CHINA MAINLAND,8027.0,181325.0,22.59,166.0,AGRICULTURAL SCIENCES
NORTHWEST A&F UNIVERSITY - CHINA,CHINA MAINLAND,9024.0,180634.0,20.02,162.0,AGRICULTURAL SCIENCES
WAGENINGEN UNIVERSITY & RESEARCH,NETHERLANDS,6819.0,172734.0,25.33,152.0,AGRICULTURAL SCIENCES
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),SPAIN,7656.0,167593.0,21.89,94.0,AGRICULTURAL SCIENCES
NANJING AGRICULTURAL UNIVERSITY,CHINA MAINLAND,6480.0,137921.0,21.28,99.0,AGRICULTURAL SCIENCES
UNIVERSITY OF CALIFORNIA SYSTEM,USA,6175.0,129479.0,20.97,110.0,AGRICULTURAL SCIENCES
"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",CHINA MAINLAND,5950.0,127682.0,21.46,95.0,AGRICULTURAL SCIENCES
ZHEJIANG UNIVERSITY,CHINA MAINLAND,5313.0,125715.0,23.66,148.0,AGRICULTURAL SCIENCES
EGYPTIAN KNOWLEDGE BANK (EKB),EGYPT,7861.0,117405.0,14.94,103.0,AGRICULTURAL SCIENCES
INDIAN COUNCIL OF AGRICULTURAL RESEARCH (ICAR),INDIA,12753.0,111262.0,8.72,66.0,AGRICULTURAL SCIENCES
SOUTH CHINA UNIVERSITY OF TECHNOLOGY,CHINA MAINLAND,3524.0,108282.0,30.73,117.0,AGRICULTURAL SCIENCES
