univ,docs,cites,top_papers,cpp,country,cluster,tier,sim_to_ECNU
(ADVENTHEALTH) CENTRAL FLORIDA DIVISION,1012.0,22108.0,42.0,21.85,USA,0,Type-0,-0.7872025883636578
(ADVENTHEALTH) WEST FLORIDA DIVISION,304.0,7453.0,10.0,24.52,USA,0,Type-0,-0.8464356988571504
"1003 PACIFIC ST,STE 1106",1.0,2567.0,1.0,2567.0,nan,0,Type-0,-0.26728583090702246
"23ANDME, INC.",159.0,25234.0,28.0,158.7,USA,0,Type-0,-0.9623511186646149
"55 LIVINGSTON RD,STE 1014",1.0,2567.0,1.0,2567.0,nan,0,Type-0,-0.26728583090702246
A O MATER DOMINI,8.0,7467.0,4.0,933.38,nan,0,Type-0,-0.5762730146454915
A T STILL UNIV,7.0,11760.0,4.0,1680.0,nan,0,Type-0,-0.3570303673771587
A&R RES GRP LLC,8.0,7467.0,4.0,933.38,nan,0,Type-0,-0.5762730146454915
A*STAR - BIOINFORMATICS INSTITUTE (BII),310.0,8663.0,6.0,27.95,SINGAPORE,0,Type-0,-0.8522654575718868
A*STAR - GENOME INSTITUTE OF SINGAPORE (GIS),1433.0,87389.0,76.0,60.98494766224704,SINGAPORE,0,Type-0,-0.7032380136877427
A*STAR - INSTITUTE FOR INFOCOMM RESEARCH (I2R),1468.0,42664.0,38.0,29.05875340599455,SINGAPORE,0,Type-0,-0.7759657018009147
A*STAR - INSTITUTE OF BIOENGINEERING & BIOIMAGING (IBB),451.0,15612.0,5.0,34.61793791574279,SINGAPORE,0,Type-0,-0.8547649098843471
A*STAR - INSTITUTE OF HIGH PERFORMANCE COMPUTING (IHPC),2363.0,76115.0,77.0,32.21358865848498,SINGAPORE,0,Type-0,-0.6165212695547734
A*STAR - INSTITUTE OF MATERIALS RESEARCH & ENGINEERING (IMRE),4517.0,214813.0,199.0,47.55767987602391,SINGAPORE,0,Type-0,0.6079896388547777
A*STAR - INSTITUTE OF MEDICAL BIOLOGY (IMB),205.0,16595.0,10.0,80.9508780487805,SINGAPORE,0,Type-0,-0.9045782195058778
A*STAR - INSTITUTE OF MOLECULAR & CELL BIOLOGY (IMCB),1908.0,75288.0,51.0,39.46060796645702,SINGAPORE,0,Type-0,-0.7198612768390745
"A*STAR - INSTITUTE OF SUSTAINABILITY FOR CHEMICALS, ENERGY & ENVIRONMENT (ISCE2)",728.0,45766.0,52.0,62.864065934065934,SINGAPORE,0,Type-0,-0.8256177239428246
A*STAR - SINGAPORE IMMUNOLOGY NETWORK (SIGN),1072.0,79408.0,89.0,74.07268656716418,SINGAPORE,0,Type-0,-0.7133124619202056
A*STAR - SINGAPORE INSTITUTE FOR CLINICAL SCIENCES (SICS),566.0,12722.0,13.0,22.48,SINGAPORE,0,Type-0,-0.8342058334980471
A*STAR - SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY (SIMTECH),1110.0,44739.0,33.0,40.3054054054054,SINGAPORE,0,Type-0,-0.8090202630422171
A.C.CAMARGO CANCER CENTER,1520.0,36930.0,22.0,24.295822368421053,BRAZIL,0,Type-0,-0.7878407058908464
A.O.U. CITTA DELLA SALUTE E DELLA SCIENZA DI TORINO,8506.0,223865.0,224.0,26.31655654831884,ITALY,0,Type-0,0.9015056783644279
A.R.N.A.S. OSPEDALI CIVICO DI CRISTINA BENFRATELLI,550.0,8519.0,9.0,15.49,ITALY,0,Type-0,-0.8309210543987989
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,1010.0,71000.0,61.0,70.29709900990099,USA,0,Type-0,-0.7930541271091712
AALBORG UNIVERSITY,24742.0,595613.0,486.0,24.073625010104276,DENMARK,0,Type-0,0.9959661875530127
AALBORG UNIVERSITY HOSPITAL,5481.0,121069.0,101.0,22.09097245028279,DENMARK,0,Type-0,0.0798717827233557
AALTO UNIVERSITY,21529.0,541688.0,416.0,25.162077198197778,FINLAND,0,Type-0,0.991867279450853
AARHUS UNIVERSITY,60537.0,1633964.0,1406.0,26.99084692006541,DENMARK,2,Type-2,0.9926154998526558
ABADAN SCH MED SCI,38.0,14845.0,9.0,390.66,nan,0,Type-0,-0.9496933224387614
ABADAN UNIV MED SCI,112.0,6435.0,17.0,57.46,nan,0,Type-0,-0.879815007139014
ABANT IZZET BAYSAL UNIVERSITY,1690.0,19676.0,12.0,11.642224852071006,TURKIYE,0,Type-0,-0.7812232408952439
ABASYN UNIV,43.0,6014.0,18.0,139.86,nan,0,Type-0,-0.9517560078318171
ABB,843.0,19620.0,12.0,23.27,SWITZERLAND,0,Type-0,-0.825886221905476
ABBOTT,238.0,5922.0,3.0,24.88,nan,0,Type-0,-0.853165649384225
ABBOTT LABORATORIES,214.0,4826.0,5.0,22.55,USA,0,Type-0,-0.8503483829657417
ABBOTT NW HOSP,251.0,9717.0,13.0,38.71,nan,0,Type-0,-0.8601196198512345
ABBOTT VASC,145.0,6161.0,6.0,42.49,nan,0,Type-0,-0.8712697105049363
ABBVIE,5308.0,163469.0,182.0,30.7974434815373,USA,0,Type-0,0.5745414145134692
ABDELMALEK ESSAADI UNIVERSITY OF TETOUAN,606.0,7207.0,3.0,11.89,MOROCCO,0,Type-0,-0.8298076215127913
ABDUL WALI KHAN UNIV MARDAN,651.0,11693.0,17.0,17.963517665130567,nan,0,Type-0,-0.8238996244486464
ABDUL WALI KHAN UNIVERSITY,1366.0,26187.0,25.0,19.16945827232797,PAKISTAN,0,Type-0,-0.7897857560758715
ABDULLAH GUL UNIVERSITY,260.0,6762.0,9.0,26.01,TURKIYE,0,Type-0,-0.8498707095376993
ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS (ICTP),3492.0,100020.0,105.0,28.64540664375716,ITALY,0,Type-0,-0.3177255713642327
ABERYSTWYTH UNIVERSITY,2674.0,79748.0,69.0,29.82461854899027,WALES,0,Type-0,-0.6054177657684323
ABILENE CHRISTIAN UNIVERSITY,310.0,36016.0,26.0,116.18,USA,0,Type-0,-0.9262683653119295
